__      ____  __          _____ _    _ _____ _   _ ______ 
\ \    / /  \/  |   /\   / ____| |  | |_   _| \ | |  ____|
 \ \  / /| \  / |  /  \ | |    | |__| | | | |  \| | |__   
  \ \/ / | |\/| | / /\ \| |    |  __  | | | | . ` |  __|  
   \  /  | |  | |/ ____ \ |____| |  | |_| |_| |\  | |____ 
    \/   |_|  |_/_/    \_\_____|_|  |_|_____|_| \_|______|
==========================================================

Started computation at Thu Jan  7 18:11:24 2021
Running on 1 CPU threads using Open MPI
Simulation is run from the directory: 


             SYSTEM INFORMATION
==============================================
Number of particles:      10
Number of dimensions:     3
Interaction style:        Coulomb
Hamiltonian:              atom
Initial state:            random normal
Atomic number:            10


           WAVE FUNCTION INFORMATION
==============================================
Element 0:                Slater determinant
Element 1:                Padé-Jastrow
Basis:                    hydrogen orbital
Initial parameters:       constant
Number of parameters:     1
Number of hidden nodes:   10
Print parameters to file: false


            SIMULATION INFORMATION
==============================================
Max number of iterations: 100
Number of MC cycles:      100000
Number of burn-in cycles: 100
Learning rate:            0.050000
Step length:              0.005000
Equilibration fraction:   0.001000
Sampling:                 Metropolis-Hastings
Optimization:             ADAM
Random number generator:  Mersenne-Twister


               PARTICLE DENSITY
==============================================
Compute radial one-body density:  false
Compute spatial one-body density: false
Compute radial two-body density:  false
Max radius of electron density:   5.000000
Number of bins in each direction: 1000


                  RESAMPLING
==============================================
Do resampling:            false
Print energies to file:   false


                  CONVERGENCE
==============================================
Check convergence:        false
Tolerance:                0.000000
Number of energies:       5


                 ADAPTIVE STEPS
==============================================
Apply adaptive steps:       false
Range of adaptive steps:    10
Additional steps:           4
Additional steps last iter: 8


Step  Energy  Energy_STD  Kinetic  Kinetic_STD  External  External_STD  Interaction  Interaction_STD  Acceptence  CPU_time
62  -127.11127477  0.01722265  137.30028780  4.96549849  -325.64419990  9.24411060  61.23263733  1.77198187  0.98607000  0.51160932
63  -127.82805784  0.01785710  137.93327107  4.99494316  -328.36513429  9.30746637  62.60380538  1.78280685  0.98599000  0.51273155
64  -127.83835066  0.01800755  138.47637562  5.02869790  -327.02083067  9.37356246  60.70610440  1.79408148  0.98546000  0.51748800
65  -127.94204986  0.01786264  135.68798108  5.05982626  -324.86575413  9.43745803  61.23572319  1.80461296  0.98528000  0.51196122
66  -127.89602664  0.01713455  138.03129435  5.09232964  -326.20883674  9.50137465  60.28151575  1.81523244  0.98549000  0.51425982
67  -128.49565739  0.01791651  131.71310933  5.12167713  -318.78233900  9.56335107  58.57357229  1.82544328  0.98669000  0.51074576
68  -128.29522900  0.01784572  133.04105331  5.15107523  -318.91561369  9.62352558  57.57933138  1.83506392  0.98657000  0.51140785
69  -128.71274535  0.01827538  127.12799018  5.17898646  -312.65277446  9.68240300  56.81203892  1.84431528  0.98586000  0.51274753
70  -127.85527339  0.01810456  132.86963163  5.21115955  -316.57194032  9.74212600  55.84703529  1.85328267  0.98610000  0.51462984
71  -128.52569998  0.01876596  137.71553721  5.24092145  -326.90750350  9.80080561  60.66626630  1.86197134  0.98621000  0.51244497
72  -127.79524309  0.01868175  125.51751703  5.26965778  -308.97301969  9.86137663  55.66025957  1.87205499  0.98651000  0.51103950
73  -128.10420164  0.01715783  134.40377121  5.29520965  -321.07092269  9.91585012  58.56294984  1.88055862  0.98639000  0.51187229
74  -128.24999040  0.01773737  133.08290966  5.32582850  -320.09506218  9.97545389  58.76216212  1.88994138  0.98628000  0.51269674
75  -127.88321830  0.01793113  131.22551637  5.35289989  -318.28663819  10.03272007  59.17790352  1.89926107  0.98641000  0.51096535
76  -128.16463155  0.01797864  132.21641780  5.37986097  -318.60404573  10.08937296  58.22299638  1.90871126  0.98618000  0.51097584
77  -127.94226381  0.01727835  146.33365252  5.41389560  -335.10206595  10.14952989  60.82614961  1.91783277  0.98608000  0.51365447
78  -127.94931078  0.01829922  134.86628381  5.44287015  -323.69021952  10.21005895  60.87462494  1.92769139  0.98571000  0.51292181
79  -127.71869700  0.01801290  136.63287919  5.47514099  -324.41374882  10.27004180  60.06217263  1.93752537  0.98719000  0.51148319
80  -127.45201318  0.01679298  136.26289774  5.50224106  -325.98429272  10.32698629  62.26938180  1.94705114  0.98592000  0.51460361
81  -127.50536037  0.01642893  144.88281388  5.53114411  -334.23307341  10.38522030  61.84489917  1.95722475  0.98490000  0.51387382
82  -127.81194942  0.01694763  136.77518452  5.56175057  -325.95350333  10.44547264  61.36636940  1.96721106  0.98663000  0.51393509
83  -127.46372711  0.01691111  132.98420120  5.59019209  -322.51907134  10.50286541  62.07114304  1.97698686  0.98610000  0.51596451
84  -127.46831088  0.01749296  143.04593854  5.61817671  -334.40903712  10.55920851  63.89478769  1.98700727  0.98561000  0.51348376
85  -127.12685744  0.01600743  145.64167050  5.64833547  -334.50885803  10.61887440  61.74033009  1.99746578  0.98573000  0.53979158
86  -128.12189836  0.01657749  138.53421166  5.67919381  -327.12005755  10.67825752  60.46394753  2.00718778  0.98532000  0.61638737
87  -127.73447032  0.01634185  144.19789096  5.70993775  -333.38439300  10.73611632  61.45203172  2.01652206  0.98588000  0.61812401
88  -127.51848506  0.01761059  136.66408834  5.73994979  -324.74581493  10.79448357  60.56324152  2.02611696  0.98617000  0.61618066
89  -127.80044228  0.01710896  138.35244458  5.76659889  -327.25111663  10.84917590  61.09822977  2.03533425  0.98590000  0.51471472
90  -127.59639686  0.01713616  143.42662957  5.79516191  -333.75986692  10.90523405  62.73684049  2.04473187  0.98527000  0.51413751
91  -127.61872975  0.01654294  141.85958163  5.82611369  -331.98173787  10.96365442  62.50342649  2.05455368  0.98565000  0.51360130
92  -127.94445530  0.01766202  135.69658308  5.85599883  -323.37468803  11.02089941  59.73364966  2.06423437  0.98656000  0.51433659
93  -128.00879775  0.01807074  134.34380927  5.88340088  -321.46781481  11.07489745  59.11520779  2.07307148  0.98589000  0.51303792
94  -127.68628042  0.01693770  133.16921989  5.91115883  -320.94798876  11.12846728  60.09248846  2.08173666  0.98628000  0.51221418
95  -128.00548296  0.01676548  140.14646551  5.93767842  -327.85257631  11.18122938  59.70062783  2.09060447  0.98587000  0.51144862
96  -128.02416873  0.01726770  135.33725661  5.96625016  -321.98749173  11.23601860  58.62606640  2.09934425  0.98549000  0.51109505
97  -128.20093475  0.01763861  132.86344357  5.99096291  -320.05745514  11.28749356  58.99307681  2.10774722  0.98584000  0.51527834
98  -127.94471834  0.01749655  138.50044720  6.01771329  -326.18025646  11.33965801  59.73509091  2.11620966  0.98545000  0.51328421
99  -128.43837471  0.01792140  134.49033059  6.04705792  -320.22700595  11.39404705  57.29830064  2.12481094  0.98538000  0.51342392

               Final results
==============================================
 Total energy            : -127.7958932784 (with STD = 0.0177544174)
 Kinetic energy          : 133.2612662737 (with STD = 6.0726406175)
 External energy         : -319.3094399998 (with STD = 11.4450506429)
 Interaction energy      : 58.2522804477 (with STD = 2.1327411939)
 Acceptence Ratio        : 0.9862700000

Finished computation at Thu Jan  7 18:12:17 2021
Elapsed time: 52.9426019200s

Average CPU time before convergence: 0.5312404284
